Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Manufacturers,Funding Details,Funding Text 1,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Nurdiani N., Hendarti R., Tedja M.","55234971900;55596725300;57194237978;","Physical Quality of Creative Economic Space on Cultural Tourism Areas in Java Island",2020,"IOP Conference Series: Earth and Environmental Science","452","1", 012057,"","",,,"10.1088/1755-1315/452/1/012057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085058356&doi=10.1088%2f1755-1315%2f452%2f1%2f012057&partnerID=40&md5=d6b87366de389a7f6d599b46b15f45d4","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Hendarti, R., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Tedja, M., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Java is an island with the most populous population in Indonesia. With the potential of cultural diversity in Java, creative economic activities on this island need the development. The local wisdom and cultural events are reflecting the creativity of the community and can provide economic value to the community. The physical quality of creative economic spaces that can become generators in some cultural tourism areas does not have functional quality space. To support the preservation of cultural heritage and the development of superior cultural tourism areas, the quality of an excellent creative economic space is necessary. The aim of this study is to identify physical quality of space for creative economic activities or events. The method of this study used a qualitative descriptive method. Results of this study provide an overview that cultural village in Semarang and Banyuwangi have five potential creative economic activities: traditional architecture, culinary, crafts, music, and performing arts. The physical quality of these two creative economic spaces is still limited because of the limited economic capacity of the community in providing the spaces. They are shaping and realizing space with utilizes natural conditions (green open spaces or spaces among tall trees) and local material (bamboo). © Published under licence by IOP Publishing Ltd.",,"Historic preservation; Tourism; Cultural diversity; Cultural events; Cultural heritages; Economic activities; Economic capacity; Natural conditions; Physical quality; Traditional architecture; Economic analysis",,,,"Kementerian Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia

Binus University","We say thank you very much to the Ministry of Research, Technology and Higher Education of the Republic of Indonesia for Research Grant in 2019 with scheme Penelitian Terapan Unggulan Perguruan Tinggi (Higher Education Applied Research) through Bina Nusantara University. We also say thank you very much to the local government and art society in Semarang and Banyuwangi who supporting this research.","Boccellaa, N., Salernob, I., Creative Economy, Cultural Industries and Local Development (2016) Procedia - Social and Behavioral Sciences, 223, pp. 291-296; Drake, G., This place gives me space: Place and creativity in the creative industries (2014) Geoforum, 34 (4), pp. 511-524; Fathurahman, H., Huseini, M., Mapping of Regional Economic Potential Based on Creative Economy to Support Creation of Regional Competitiveness (2018) KnE Social Sciences, 3 (10), pp. 310-332; Kartika, Y., Rina, K., Pelestarian Kampung Kauman Semarang sebagai Kawasan Wisata Budaya (2013) Jurnal Teknik PWK, 2","Nurdiani, N.; Architecture Department, Indonesia; email: nnurdiani@binus.edu",,,"Institute of Physics Publishing","5th Friendly City International Conference: Enhancing Culture, Community and Environment, FCIC 2019","12 September 2019",,159684,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85085058356
"Nurdiani N., Taufik","55234971900;57216128068;","The study of application of the green architectural design concept at residential area in Jakarta",2020,"IOP Conference Series: Earth and Environmental Science","426","1", 012067,"","",,,"10.1088/1755-1315/426/1/012067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082620509&doi=10.1088%2f1755-1315%2f426%2f1%2f012067&partnerID=40&md5=180fc355611fddbd4fdef02ce0aa7368","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Industrial Engineering Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Professional Engineer Program, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia, Professional Engineer Program, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Taufik, Industrial Engineering Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia, Professional Engineer Program, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","The developers of residential areas generally promote a theme in marketing their residential units. Likewise, one of many developers in West Jakarta markets its residential area with the Green theme. The purpose of this study is to identify the application of the green architectural design concept in building design and neighborhood at residential area. This research uses descriptive method through survey and field observation. The results showed that almost all criteria of the green concepts have been applied on building design and neighborhood with classical modern style related with theme of the cluster. The criteria are Appropriate Site Development, Energy Efficiency and Conservation, Water Conservation, Indoor Health and Comfort, and Building Environment Management. The use of renewable local materials (bamboo and wood) is not widely applied in home design. But the selection of modern materials follows the green standard, which is material that is already eco-material certified. The supply of building materials also comes from the area around the housing, so it does not use a lot of fossil energy. © 2020 Published under licence by IOP Publishing Ltd.",,"Commerce; Energy efficiency; Historic preservation; Housing; Water conservation; Building design; Building environment; Eco-materials; Energy efficiency and conservations; Field observations; Fossil energy; Local materials; Residential areas; Architectural design",,,,,,"Ervianto, W.I., (2012) Selamatkan Bumi Melalui Konstruksi Hijau; Itewi, M., Alsafseh, Q., Green Home with Energy Saving Design - Eco Homes in Jordan (2012) Europen Scientific Journal, 8, pp. 107-117; Alvan, S., Novrianty, I.N., Lynna, P.A., Luthan, Konsep Desain Rumah Tinggal Berkelanjutan di Kota Medan Jurnal (2015) Sosek Pekerjaan Umum, 7, pp. 1-79; Nurdiani, N., Katarina, W., Setiawan, D., Sakina, B., (2018) Prosiding Seminar Nasional Infrastruktur Berkelanjutan; Koones, S., Redford, R., (2010) Prefabulous + Sustainable Building and Customizing An Affordable, Energy-Efficient Home; Akmal, I., (2013) Eksplorasi Desain Rumah Hijau","Nurdiani, N.; Architecture Department, Indonesia; email: nnurdiani@binus.edu",,,"Institute of Physics Publishing","3rd International Conference on Eco Engineering Development, ICEED 2019","13 November 2019 through 14 November 2019",,158437,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082620509
"Dennis M., Nurdiani N., Katarina W.","57217272228;55234971900;57193408144;","The application of threshold space concept on culinary center in Jakarta for sustainable architectural design",2020,"IOP Conference Series: Earth and Environmental Science","426","1", 012103,"","",,,"10.1088/1755-1315/426/1/012103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082615489&doi=10.1088%2f1755-1315%2f426%2f1%2f012103&partnerID=40&md5=5705a4670f5f203f1a6043919877d916","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Dennis, M., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Katarina, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","The Central Jakarta area is the largest contributor to retribution for DKI Jakarta, and most of its population expenditure is in the food sector. The need for a new culinary center that can become a new communal space for urban communities requires a design approach that supports the creation of sustainable architectural designs in terms of social aspects. The application of the concept of threshold space is done through qualitative design methods in designing culinary centers in Palmerah - Central Jakarta that provide and sell food and drinks. The design of this culinary center is expected to become a new communal space that functions as a recreational space and a space for social interaction that functions well. Threshold space concept was chosen to be applied in the design because it functions as a transition space that connects one function to another, so that integration between spaces is also well created. © 2020 Published under licence by IOP Publishing Ltd.","culinary center; social interaction; threshold space","Beverages; Economic and social effects; Social aspects; Communal space; culinary center; Design approaches; Design method; Social interactions; Sustainable architectural design; threshold space; Urban community; Architectural design",,,,,,"Pusat Statistik, B., (2019) Jakarta Dalam Angka; Boettger, T., (2014) Threshold Spaces: Transitions in Architecture, Analysis and Design Tools; Katrigis, C., Thomas, C., (2014) Design and Equipment for Restaurant and Foodservice: A Management View, Third Edition; Nio, S., Dewi, J., (2017) Threshold Space Sebagai Pendekatan Desain Ruang Terbuka di Kawasan Kota Tua Jakarta Prosiding Seminar Heritage IPLB, , https://seminar.iplbi.or.id/; Pribadi, H.G., Potensi Wisata Kuliner Kota Muntilan (2018) Jurnal Arsitektur KOMPOSISI, 12 (1), p. 15; Putri, T.L., Irfandi, N., Analisis Pengaruh Daya Tarik Wisata Kuliner Malam (WKM) terhadap Kunjungan Wisatawan di Kota Pekanbaru (2018) Ikraith Ekonomika, 2, pp. 135-137; Signh, R., (2015) Understanding Transition Space","Nurdiani, N.; Architecture Department, Indonesia; email: nnurdiani@binus.edu",,,"Institute of Physics Publishing","3rd International Conference on Eco Engineering Development, ICEED 2019","13 November 2019 through 14 November 2019",,158437,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082615489
"Nurdiani N., Katarina W., Grestio I.","55234971900;57193408144;57216131128;","The universal design approach on sport center in Jakarta to create livable public facilities",2020,"IOP Conference Series: Earth and Environmental Science","426","1", 012108,"","",,,"10.1088/1755-1315/426/1/012108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082586923&doi=10.1088%2f1755-1315%2f426%2f1%2f012108&partnerID=40&md5=cba3c27d125c8dedde87e56b05e0fc10","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Katarina, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Grestio, I., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","The DKI Jakarta Government is actively implementing a sports center rehabilitation program for sports and arts activities for the community. One problem that has not been considered in the design of sports centers in Jakarta is the provision of facilities for persons with disabilities, in order to that they have the same opportunities as other normal people in using sports centers. From the results of a study using descriptive methods through observation of existing sports centers, the results are obtained that to realize a livable public facilities requires the design of a sports center that applies the principles of Universal Design, namely Equitable Use, Flexibility in Use, Perceptible Information, Simple & Intuitive, Tolerance for Error, Low Physical Effort, Size and Space for Approach Use. © 2020 Published under licence by IOP Publishing Ltd.","disabilities; sport center; universal design","Design; Recreation centers; disabilities; Government IS; Persons with disabilities; Public facilities; Rehabilitation programs; Sport centers; Sports center; Universal Design; Sports",,,,,,"United Nations Habitat, , http://www.un-documents.net/ha-4c.htm#C-11; (2008) What Is Social Development, , https://www2.gnb.ca/content/gnb/en/departments/esic/overview/content/what_is_social_development.html, Economic and Social Inclusion Corporation; Banton, M., Makalah Integrasi Sosial: Pengertian, Bentuk, Tahapan, Contoh Dan Faktor, , https://www.gurupendidikan.co.id/integrasi-sosial/; Gilin Integrasi Sosial, , https://www.gurupendidikan.co.id/integrasi-sosial/; Nimkoff, F.D., Syarat Berhasilnya Suatu Integrasi Social, , https://www.gurupendidikan.co.id/integrasi-sosial/","Nurdiani, N.; Architecture Department, Indonesia; email: nnurdiani@binus.edu",,,"Institute of Physics Publishing","3rd International Conference on Eco Engineering Development, ICEED 2019","13 November 2019 through 14 November 2019",,158437,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082586923
"Aror S.M., Nurdiani N., Katarina W.","57201369743;55234971900;57193408144;","The study of physical condition of settlement in Penjaringan - Jakarta to build liveable human settlement",2020,"IOP Conference Series: Earth and Environmental Science","426","1", 012109,"","",,,"10.1088/1755-1315/426/1/012109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082583130&doi=10.1088%2f1755-1315%2f426%2f1%2f012109&partnerID=40&md5=528ddd7c90504ef2ce2f05320fe1d64f","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Aror, S.M., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Katarina, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","High population growth due to urbanization has led to the emergence of many densely populated and uninhabitable settlements in Jakarta. Jakarta has 445 RWs which are categorized as unfit for habitation, one of which is the Penjaringan sub-district, and the government will organize it. The purpose of this study is to determine the physical condition of the settlement environment in Penjaringan and the design solutions needed. The method used in this study is descriptive-qualitative method. The results of the study show that the Penjaringan area requires redevelopment in a portion of the planning area using 8 design criteria, namely land use, architectural character, landscaping, circulation and parking, property maintenance, signage, site furnishings, and lighting and utilities. © 2020 Published under licence by IOP Publishing Ltd.","livable settlements; physical condition; redevelopment","Population statistics; Design criteria; Design solutions; Human settlements; livable settlements; Physical conditions; Population growth; Qualitative method; redevelopment; Land use",,,,,,"UU Nomor 1 Tahun 2011 Permukiman Kumuh; Peraturan Menteri Negara Perumahan Rakyat Republik Indonesia No. 22/PERMEN/M/2008; Commercial Corridor Urban Design Guide - Redevelopment Design Concepts & Guidelines, , Anonim; Hariyanto, A., (2007) Strategi Penanganan Kawasan Kumuh Sebagai Upaya Menciptakan Lingkungan Perumahan Dan Permukiman Yang Sehat; Prayitno, B., (2014) Skema Inovatif: Penanganan Permukiman Kumuh; Nurdiani, N., Adjustment and self-help approach for improving housing unit quality in multi-storey housing (2012) Applied Mechanics and Materials, 174-177, pp. 3463-3466","Nurdiani, N.; Architecture Department, Indonesia; email: nnurdiani@binus.edu",,,"Institute of Physics Publishing","3rd International Conference on Eco Engineering Development, ICEED 2019","13 November 2019 through 14 November 2019",,158437,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082583130
"Nurdiani N., Katarina W., Masyitoh S.","55234971900;57193408144;57216127686;","The behaviour architectural approach on children public space in Jakarta to create sustainable environment",2020,"IOP Conference Series: Earth and Environmental Science","426","1", 012104,"","",,,"10.1088/1755-1315/426/1/012104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082566438&doi=10.1088%2f1755-1315%2f426%2f1%2f012104&partnerID=40&md5=8b5982e54c9d1f86d57643aabac9853d","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Katarina, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Masyitoh, S., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","In recent years the city government of Jakarta has built Child Friendly Open Public Spaces (RPTRA) throughout the Jakarta area. In order to create sustainable environment in public space, study about existing condition of RPTRA in Jakarta is needed. The study conducted through descriptive method. Result of the study showed that the existing conditions of RPTRA are still inadequate, so a re-design of this public space is needed. The RPTRA redesign project aims to provide a playroom in accordance with the needs of each age group, as well as provide space for non-formal education facilities for the surrounding community as one of the fulfillments of educational programs in the RPTRA. The concept of the design is a playground design that fits the needs of each age group of children and a flexible learning space. © 2020 Published under licence by IOP Publishing Ltd.","behavior architecture; child friendly open public space; community learning center","Age groups; Architectural approach; Community learning; Educational program; Flexible Learning; Non-formal education; Public space; Sustainable environment; Sustainable development",,,,,,"United Nations Habitat. Retrieved from http://www.un-documents.net/ha-4c.htm#C-11; (2015) Public Playground Safety Handbook, , https://www.cpsc.gov/s3fs-public/325.pdf, U. S Consumer Product Safety Commisssion; (2011) Pedoman Pembentukan Penyelenggaraan PKBM, , Kementrian Pendidikan Kebudayaan; Jean Piaget, B.I., (1969) The Psychology of the Child","Nurdiani, N.; Architecture Department, Indonesia; email: nnurdiani@binus.edu",,,"Institute of Physics Publishing","3rd International Conference on Eco Engineering Development, ICEED 2019","13 November 2019 through 14 November 2019",,158437,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85082566438
"Nurdiani N., Katarina W.","55234971900;57193408144;","The study of building material quality of a low cost flats in Jakarta",2018,"IOP Conference Series: Earth and Environmental Science","195","1", 012082,"","",,,"10.1088/1755-1315/195/1/012082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062889717&doi=10.1088%2f1755-1315%2f195%2f1%2f012082&partnerID=40&md5=8302f1f49ccc2b43c67aa06b61d53a20","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Katarina, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","The form and layout of dwelling unit in low cost flats which provided by the government as a substitute for landed house in slums or high density neighborhoods, is very different from their homes. Physical quality of building materials is very standard and often it does not meet the expectations of the residents. Currently the use of environmentally friendly materials (eco-materials) in buildings is being actively socialized by the government to support sustainable development programs. This research was conducted with the aim to know the type of physical changes made by the residents to their residential unit, and the dominant building materials used by residents when making physical changes, as well as the proposed environmentally friendly materials that can be used by residents. The results showed that the dominant physical changes were performed by occupants: (1) physical changes that are related to the aesthetic reasons and improving the quality of dwelling unit (aesthetical and physical adjustment); (2) physical changes that are related to the fulfillment of function of dwelling unit in low cost flats (functional adjustment). Wall paint and ceramic materials are dominant materials that are often replaced and used by residents when making physical changes in residential unit. The proposed of wall paint and ceramic materials are used even from the beginning of the construction of low cost flats there are eco-materials and interior furnishings that good quality and minimize chemical emissions also promote good air quality. © 2018 Institute of Physics Publishing. All rights reserved.",,"Air quality; Building materials; Ceramic materials; Housing; Paint; Walls (structural partitions); Chemical emissions; Eco-materials; In-buildings; Jakarta; Low costs; Physical changes; Physical quality; Costs",,,,,,"Indriyati, S.A., (2004) Adaptation Behavior of Residents Living in High-Density Housing in Jakarta, , (Jakarta: Universitas Persada Indonesia); Nurdiani, N., Efforts of the occupant to change physical quality of residential unit through the change of building material at low cost flats in Jakarta (2018) IOP Conf. Series: Materials Science and Engineering, 324; Nurdiani, N., Adjustment and self-help approach for improving housing unit quality in multi-storey housing (2012) Applied Mechanics and Materials, 174-177, pp. 3463-3466; Kuswartojo, T., (2005) Perumahan Dan Pemukiman di Indonesia, , (Bandung: Institut Teknologi Bandung); Littlewood, A., Munro, M., Moving and Improving: Strategies for Attaining Housing Equilibrium (1997) Urban Studies, 34 (11), pp. 1771-1787; Morris, E.W., Winter, M., (1978) Housing, Family, and Society, , (New York: Wiley and Sons); Schleifer, S.K., (2014) Residential Eco Houses, , (New York: Skyhorse Publishing); Koones, S., (2010) Prefabulous + Sustainable Building and Customizing An Affordable, Energy-efficient Home, , (New York: Abrams)",,,,"Institute of Physics Publishing","2nd International Conference on Eco Engineering Development 2018, ICEED 2018","5 September 2018 through 6 September 2018",,145817,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85062889717
"Nurdiani N., Katarina W.","55234971900;57193408144;","The study of buildings and neighborhood of Mahmud cultural village",2018,"IOP Conference Series: Earth and Environmental Science","195","1", 012092,"","",,,"10.1088/1755-1315/195/1/012092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062857961&doi=10.1088%2f1755-1315%2f195%2f1%2f012092&partnerID=40&md5=faf019e7e3d9cfa16a1112e3e89abe49","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Katarina, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","West Java Province in Indonesia has some cultural village that still survive in modern society today. One of indigenous villages that survive and have a special uniqueness is Mahmud Cultural Village located near the city of Bandung. The development of technology and economic improvement of the community, as well as the growth of urban areas can affect the pattern of life of indigenous villagers that will affect the sustainability of indigenous villages. The purpose of this study is to identify, to know and to understand the buildings and neighborhood of Mahmud cultural village in West Java. This research uses descriptive method through survey and field observation. The results showed that the community in the Mahmud cultural village has largely begun to abandon the old tradition related to the construction of traditional architecture of residence, this is evident from the addition of space in buildings and the incorporation of materials from bamboo or wood with brick or brick material for the wall residential home. The house is no longer a stage. Only a small part of the traditional architecture of the residence and the Jami mosque are still sustainable following the values of local tradition. © 2018 Institute of Physics Publishing. All rights reserved.",,"Architecture; Brick; Urban growth; Brick materials; Economic improvements; Field observations; In-buildings; Residential homes; Traditional architecture; Urban areas; West javas; Rural areas",,,,,,"Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat 2012; Salura, P., (2007) Menelusuri Arsitektur Masyarakat Sunda, , (Bandung: Cipta Sastra Salura); Ekadjati, E., (1984) Masyarakat Sunda Dan Kebudayaannya, , (Jakarta: Girimukti Pusaka); Djoewisno, M.S., (1988) Potret Kehidupan Masyarakat Baduy, , (Jakarta: Khas Studio); Rangkuti, N., (1988) Orang Baduy Dari Inti Jagat, , (Jakarta: Bentara Budaya); Sukandar, A.P., (2008) Prosiding Seminar Nasional Perkembangan Teknologi Vs Konservasi Arsitektur, , (Malang: Universitas Merdeka) Menggagas Pelestarian Permukiman Tradisional Dusun Sade sebagai Lansekap Budaya yang Mampu Mengantisipasi Kebutuhan Penghuninya",,,,"Institute of Physics Publishing","2nd International Conference on Eco Engineering Development 2018, ICEED 2018","5 September 2018 through 6 September 2018",,145817,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85062857961
"Nurdiani N.","55234971900;","Efforts of the occupant to change physical quality of residential unit through the change of building material at low cost flats in Jakarta",2018,"IOP Conference Series: Materials Science and Engineering","324","1", 012024,"","",,1,"10.1088/1757-899X/324/1/012024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046263459&doi=10.1088%2f1757-899X%2f324%2f1%2f012024&partnerID=40&md5=034e3d9968333494e9964744ad5b5b5a","Lect., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Nurdiani, N., Lect., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Low cost flats in Jakarta - Indonesia is provided by the government for low-income people in urban areas, in line with the program to redevelop or renew slum areas. Low cost flat is built with the minimum standard of building materials. The purpose of this study is to know efforts of the occupants to change of building materials at residential unit of low cost flats. The research was conducted by descriptive method at four of low cost housing in Jakarta: Rusuna Bendungan Hilir 1, Rusuna Tambora IIIA, Rusuna Bidara Cina, and Rusuna Sukapura. The results showed that physical changes which happened in low cost flats are aesthetic (residence paint color change), or improvement of physical quality of residential unit (change of building material), become dominant aspects done by residents in four rusuna. © Published under licence by IOP Publishing Ltd.",,"Building materials; Housing; Color changes; Indonesia; Low cost housing; Low costs; Low incomes; Physical changes; Physical quality; Urban areas; Costs",,,,,,"Bahri, S., Rumah susun sebagai bentuk budaya bermukim masyarakat modern (2005) Jurnal Sistem Teknik Industri, 6, pp. 97-102; Nurdiani, N., Adjustment and self-help approach for improving housing unit quality in multi-storey housing (2012) Applied Mechanics and Materials, 174-177, pp. 3463-3466; Mohit, M.A., Ibrahim, M., Rashid, Y.R., Assessment of residential satisfaction in newly designed public low-cost housing in Kuala Lumpur Malaysia (2010) Habitat International, 34 (1), pp. 18-27; Awanyo, L., Meeting housing-space demand through in situ housing adjustments in the greater Accra metropolitan area Ghana (2009) Environment and Planning C: Government and Policy, 27 (2), pp. 302-318; Sinai, I., Moving or improving: Housing adjusment choice in Kumasi Ghana (2001) Housing Studies, 16 (1), pp. 97-114","Nurdiani, N.; Lect., Indonesia; email: nnurdiani@binus.edu",,"","Institute of Physics Publishing","2017 5th International Conference on Mechanical Engineering, Materials Science and Civil Engineering, ICMEMSCE 2017","15 December 2017 through 16 December 2017",,135937,17578981,,,,"English","IOP Conf. Ser. Mater. Sci. Eng.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85046263459
"Wizaka W., Nurdiani N.","57200368826;55234971900;","Improving student's technical drawing in building technology course with shared and digital enrichment material in order to support green technology",2018,"IOP Conference Series: Earth and Environmental Science","109","1", 012047,"","",,,"10.1088/1755-1315/109/1/012047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040969461&doi=10.1088%2f1755-1315%2f109%2f1%2f012047&partnerID=40&md5=af5dc444986f453735294964eb36021e","Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Wizaka, W., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia; Nurdiani, N., Architecture Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia","Technical drawing is a step that is absolutely necessary to be mastered by the architects in presenting their product in design development phase. The easy readiness and completeness of information in a drawing determine the quality and timeliness of a project. An incomplete engineering drawing is difficult to read by foreman or craftsman, and the risk of misunderstanding of the drawing will cost expensive and have potential risk to create many bad implications in the project. Unfortunately, the knowledge and skill of drawing technique are often not completely mastered by most students. On the other hand, according to the regional development situation in architectural and construction issue, the drawing standards must be fully utilized in international standards in order to facilitate cooperative work involving workers and engineers from these region countries. This research will be described some errors that often made by students and of international drafting symbols that supposed to be well used by students and then insert multi-media resources as digital enrichment material that supposed to be used as an additional material. The goal of this study will be to examine how multi-media is employed to positively impact student learning in a Building Technology course. © 2017 Published under licence by IOP Publishing Ltd.","Architecture student; building technology course; design development drawing; green technology; technical drawing","Architecture; Cost engineering; Curricula; E-learning; Education; Engineering education; Environmental technology; Multimedia systems; Product design; Regional planning; Building technologies; Cooperative works; Design development; Engineering drawing; Green technology; International standards; Regional development; Technical drawing; Students",,,,,,"Diamond, R.M., (1989) Designing and Improving Courses and Curricula in Higher Education, , (San Francisco: Jossey-Bass); Barnes, K., Marateo, R.C., Ferris, S.P., Teaching and Learning with the Net Generation (2007) Journal of Online Education; Dale, E., (1969) Audio-Visual Methods in Teaching, p. 108. , 3 (New York: Holt Rinehart and Winston); Douglas, W., (1999) Drafting Symbol Sourcebook, , (New York: McGraw-Hill)","Wizaka, W.; Architecture Department, Indonesia; email: wwizaka@binus.ac.id","Kasih T.P.","","Institute of Physics Publishing","International Conference on Eco Engineering Development 2017, ICEED 2017","14 November 2017 through 15 November 2017",,133427,17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85040969461
